index,raw_id,skin_id,x,y,angle_deg,creation_number,city_index,region_id,region_name,source_offset
0,n00A,n00A,-10392.9,-11906.0,109.889,,,,,147839
1,n00A,n00A,-10447.0,-12526.5,218.14,,,,,147910
2,n00A,n00A,14797.0,15567.1,33.059,,,,,147981
3,n00A,n00A,1939.1,-10482.5,109.889,,,,,148049
4,h00N,h00N,320.0,320.0,270.0,1,1,1,Germany,148312
5,h00N,h00N,-832.0,64.0,270.0,2,2,1,Germany,148393
6,h00N,h00N,320.0,-1024.0,270.0,3,3,1,Germany,148474
7,h00N,h00N,-1472.0,-1024.0,270.0,4,4,1,Germany,148557
8,h00N,h00N,-1408.0,-2432.0,270.0,5,5,1,Germany,148642
9,h00N,h00N,-384.0,-2944.0,270.0,6,6,1,Germany,148727
10,h00N,h00N,3584.0,128.0,270.0,7,9,2,Poland,148811
11,h00N,h00N,1664.0,-384.0,270.0,8,7,2,Poland,148893
12,h00N,h00N,2048.0,832.0,270.0,20,8,2,Poland,148976
13,h00N,h00N,4032.0,-1152.0,270.0,21,10,2,Poland,149058
14,h00N,h00N,768.0,-2048.0,270.0,22,14,4,Czech Republic,149142
15,h00N,h00N,2112.0,-1664.0,270.0,23,13,4,Czech Republic,149225
16,h00N,h00N,1408.0,-3008.0,270.0,24,23,8,Austria,149309
17,h00N,h00N,448.0,-3648.0,270.0,25,24,8,Austria,149393
18,h00N,h00N,1856.0,-4032.0,270.0,26,19,6,Slovenia,149476
19,h00N,h00N,896.0,-4736.0,270.0,27,20,6,Slovenia,149560
20,h00N,h00N,2880.0,-4864.0,270.0,28,58,20,Croatia,149643
21,h00N,h00N,1920.0,-5760.0,270.0,29,59,20,Croatia,149727
22,h00N,h00N,3456.0,-5632.0,270.0,30,60,21,Bosnia-Herzegovina,149811
23,h00N,h00N,2752.0,-6656.0,270.0,31,61,21,Bosnia-Herzegovina,149895
24,h00N,h00N,3776.0,-6656.0,270.0,32,63,22,Montenegro,149979
25,h00N,h00N,4736.0,-6720.0,270.0,33,62,22,Montenegro,150063
26,h00N,h00N,4416.0,-4992.0,270.0,34,46,15,Serbia,150147
27,h00N,h00N,5248.0,-5568.0,270.0,35,47,15,Serbia,150231
28,h00N,h00N,5952.0,-6848.0,270.0,36,48,16,North Macedonia,150315
29,h00N,h00N,5440.0,-7872.0,270.0,37,49,16,North Macedonia,150399
30,h00N,h00N,4736.0,-8768.0,270.0,38,56,19,Albania,150483
31,h00N,h00N,7168.0,-7616.0,270.0,39,64,23,Greece,150567
32,h00N,h00N,6464.0,-9472.0,270.0,40,65,23,Greece,150651
33,h00N,h00N,5504.0,-9536.0,270.0,41,66,23,Greece,150735
34,h00N,h00N,6784.0,-6016.0,270.0,42,55,18,Bulgaria,150819
35,h00N,h00N,7808.0,-5952.0,270.0,43,54,18,Bulgaria,150903
36,h00N,h00N,5184.0,-3968.0,270.0,44,52,17,Romania,150987
37,h00N,h00N,6144.0,-4864.0,270.0,45,53,17,Romania,151071
38,h00N,h00N,7616.0,-4672.0,270.0,46,51,17,Romania,151155
39,h00N,h00N,6528.0,-3456.0,270.0,47,50,17,Romania,151239
40,h00N,h00N,7296.0,-2496.0,270.0,48,69,24,Moldova,151323
41,h00N,h00N,8384.0,-3136.0,270.0,49,68,24,Moldova,151407
42,h00N,h00N,6080.0,-2048.0,270.0,50,40,14,Ukraine,151491
43,h00N,h00N,5696.0,-1024.0,270.0,51,41,14,Ukraine,151575
44,h00N,h00N,7232.0,-832.0,270.0,52,42,14,Ukraine,151659
45,h00N,h00N,9344.0,-1984.0,270.0,53,43,14,Ukraine,151742
46,h00N,h00N,10240.0,-384.0,270.0,54,44,14,Ukraine,151826
