index,raw_id,skin_id,owner,x,y,z,angle_rad,variation,flags,hitpoints,mana,custom_team_color,waygate,creation_number,city_index,region_id,region_name
0,sloc,sloc,0,-3008.0,11072.0,76.75,4.712389,0,2,-1,-1,-1,-1,224,,,
1,h00N,h00N,24,320.0,320.0,213.25,4.712389,0,2,-1,-1,-1,-1,1,1,1,Germany
2,h00N,h00N,24,-832.0,64.0,213.25,4.712389,0,2,-1,-1,-1,-1,2,2,1,Germany
3,h00N,h00N,24,320.0,-1024.0,213.25,4.712389,0,2,-1,-1,-1,-1,3,3,1,Germany
4,h00N,h00N,24,-1472.0,-1024.0,213.25,4.712389,0,2,-1,-1,-1,-1,4,4,1,Germany
5,h00N,h00N,24,-1408.0,-2432.0,213.25,4.712389,0,2,-1,-1,-1,-1,5,5,1,Germany
6,h00N,h00N,24,-384.0,-2944.0,213.25,4.712389,0,2,-1,-1,-1,-1,6,6,1,Germany
7,h00N,h00N,24,3584.0,128.0,213.25,4.712389,0,2,-1,-1,-1,-1,7,9,2,Poland
8,h00N,h00N,24,1664.0,-384.0,213.25,4.712389,0,2,-1,-1,-1,-1,8,7,2,Poland
9,sloc,sloc,1,-3008.0,11072.0,76.75,4.712389,1,2,-1,-1,-1,-1,9,,,
10,sloc,sloc,2,-3008.0,11072.0,76.75,4.712389,2,2,-1,-1,-1,-1,0,,,
11,sloc,sloc,3,-3008.0,11072.0,76.75,4.712389,3,2,-1,-1,-1,-1,10,,,
12,sloc,sloc,4,-3008.0,11072.0,76.75,4.712389,4,2,-1,-1,-1,-1,11,,,
13,sloc,sloc,5,-3008.0,11072.0,76.75,4.712389,5,2,-1,-1,-1,-1,12,,,
14,sloc,sloc,6,-3008.0,11072.0,76.75,4.712389,6,2,-1,-1,-1,-1,13,,,
15,sloc,sloc,7,-3008.0,11072.0,76.75,4.712389,7,2,-1,-1,-1,-1,15,,,
16,sloc,sloc,8,-3008.0,11072.0,76.75,4.712389,8,2,-1,-1,-1,-1,14,,,
17,sloc,sloc,9,-3008.0,11072.0,76.75,4.712389,9,2,-1,-1,-1,-1,16,,,
18,sloc,sloc,10,-3008.0,11072.0,76.75,4.712389,10,2,-1,-1,-1,-1,17,,,
19,sloc,sloc,11,-3008.0,11072.0,76.75,4.712389,11,2,-1,-1,-1,-1,18,,,
20,h00N,h00N,24,2048.0,832.0,213.15625,4.712389,0,2,-1,-1,-1,-1,20,8,2,Poland
21,h00N,h00N,24,4032.0,-1152.0,213.25,4.712389,0,2,-1,-1,-1,-1,21,10,2,Poland
22,h00N,h00N,24,768.0,-2048.0,213.25,4.712389,0,2,-1,-1,-1,-1,22,14,4,Czech Republic
23,h00N,h00N,24,2112.0,-1664.0,213.25,4.712389,0,2,-1,-1,-1,-1,23,13,4,Czech Republic
24,h00N,h00N,24,1408.0,-3008.0,213.25,4.712389,0,2,-1,-1,-1,-1,24,23,8,Austria
25,h00N,h00N,24,448.0,-3648.0,213.25,4.712389,0,2,-1,-1,-1,-1,25,24,8,Austria
26,h00N,h00N,24,1856.0,-4032.0,213.25,4.712389,0,2,-1,-1,-1,-1,26,19,6,Slovenia
27,h00N,h00N,24,896.0,-4736.0,213.25,4.712389,0,2,-1,-1,-1,-1,27,20,6,Slovenia
28,h00N,h00N,24,2880.0,-4864.0,213.25,4.712389,0,2,-1,-1,-1,-1,28,58,20,Croatia
29,h00N,h00N,24,1920.0,-5760.0,213.25,4.712389,0,2,-1,-1,-1,-1,29,59,20,Croatia
30,h00N,h00N,24,3456.0,-5632.0,213.25,4.712389,0,2,-1,-1,-1,-1,30,60,21,Bosnia-Herzegovina
31,h00N,h00N,24,2752.0,-6656.0,213.25,4.712389,0,2,-1,-1,-1,-1,31,61,21,Bosnia-Herzegovina
32,h00N,h00N,24,3776.0,-6656.0,213.25,4.712389,0,2,-1,-1,-1,-1,32,63,22,Montenegro
33,h00N,h00N,24,4736.0,-6720.0,213.25,4.712389,0,2,-1,-1,-1,-1,33,62,22,Montenegro
